code,name,price,pct_chg,volume,amount,turnover
002990,盛视科技,49.29,10.0,175287.0,842088218.86,12.7
002971,和远气体,37.5,10.0,88742.0,317657584.5,5.51
000657,中钨高新,57.43,10.0,791412.0,4374930685.61,5.45
603823,百合花,60.73,10.0,121557.0,723007003.0,2.92
600172,黄河旋风,11.22,10.0,1471662.0,1590251946.0,11.47
002536,飞龙股份,38.18,10.0,454875.0,1669975513.75,8.36
002655,共达电声,27.07,10.0,242796.0,634540148.15,6.67
605178,时空科技,64.24,10.0,18060.0,112518534.0,1.82
600367,红星发展,29.92,10.0,250093.0,723670785.0,7.77
001210,金房能源,20.79,10.0,35376.0,72356106.76,2.65
603186,华正新材,119.31,10.0,140723.0,1624492399.0,8.98
603201,常润股份,17.6,10.0,60115.0,104542417.0,3.19
603306,华懋科技,67.46,10.0,146353.0,951045010.0,4.44
603039,泛微网络,45.63,10.0,306699.0,1324677734.0,9.97
601231,环旭电子,25.96,10.0,251685.0,633447577.0,1.05
002703,浙江世宝,16.28,10.0,114033.0,185645886.8,1.95
002579,中京电子,12.98,10.0,454747.0,579296594.32,7.79
002491,通鼎互联,16.06,10.0,1263101.0,1922672402.7,10.74
600206,有研新材,39.81,10.0,839743.0,3271520867.0,9.92
605376,博迁新材,157.65,10.0,141710.0,2179861114.0,5.42
002842,翔鹭钨业,34.56,9.99,389068.0,1287820518.28,14.49
000938,紫光股份,37.75,9.99,3131152.0,11588362032.44,10.95
000962,东方钽业,51.63,9.99,241104.0,1200246990.46,4.79
001337,四川黄金,43.27,9.99,136997.0,570309572.85,3.26
001359,平安电工,86.17,9.99,43440.0,359724862.77,7.21
603678,火炬电子,49.1,9.99,325786.0,1536558899.0,6.85
000712,锦龙股份,9.81,9.98,454844.0,431788892.81,5.08
002213,大为股份,28.86,9.98,196050.0,553521950.71,9.48
603206,嘉环科技,15.54,9.98,69160.0,104359831.0,2.27
600721,百花医药,8.71,9.97,391753.0,339318225.0,10.19
002182,宝武镁业,13.12,9.97,302441.0,387514960.24,3.49
002649,博彦科技,10.26,9.97,252858.0,254350572.69,4.71
002181,粤 传 媒,9.94,9.96,785968.0,764624442.56,6.93
688146,中船特气,278.3,9.96,179958.0,4927607928.0,12.41
600556,天下秀,5.54,9.92,1310818.0,705382891.0,7.25
600130,波导股份,4.32,9.92,247398.0,104079025.0,3.3
688766,普冉股份,369.01,9.9,127602.0,4570361727.0,8.58
002721,金一文化,2.67,9.88,480303.0,121681134.0,1.81
300486,东杰智能,20.5,9.86,153652.0,315863379.99,3.22
300400,劲拓股份,24.29,9.86,128282.0,301410267.0,5.3
300820,英杰电气,50.13,9.84,57520.0,274887666.0,5.15
300260,新莱应材,52.13,9.77,200871.0,1009183749.81,6.98
300285,国瓷材料,66.03,9.72,1293467.0,8156059572.19,15.15
688141,杰华特,126.11,9.65,146657.0,1802683675.0,3.26
301047,义翘神州,91.59,9.58,114650.0,1043224188.41,9.59
688207,格灵深瞳,19.42,9.53,111356.0,209299524.0,4.3
301188,力诺药包,37.72,9.49,120484.0,436242887.3,4.5
688345,博力威,53.16,9.43,14609.0,74588216.0,1.44
301392,汇成真空,145.8,9.37,39489.0,549317650.28,9.68
600176,中国巨石,39.55,9.28,2020842.0,7698700576.0,5.09
300975,商络电子,25.85,9.26,419235.0,1044693734.62,8.52
001270,铖昌科技,115.97,9.23,93761.0,1055681742.11,4.58
688729,屹唐股份,25.11,9.22,378374.0,915334119.0,2.16
603626,科森科技,15.0,9.17,226435.0,324807855.0,4.08
002859,洁美科技,65.49,9.15,158764.0,1001386258.53,3.71
002851,麦格米特,116.55,9.13,279062.0,3110713918.47,6.05
601869,长飞光纤,309.88,9.11,140067.0,4076056524.0,3.45
603903,中持股份,12.47,9.1,94207.0,113157086.0,3.69
688200,华峰测控,376.28,9.07,57313.0,2098249633.0,2.85
301141,中科磁业,40.75,9.04,58343.0,235536313.08,13.11
688627,精智达,439.39,9.03,45527.0,1916838471.0,4.84
300592,华凯易佰,16.57,9.01,282294.0,446560190.32,8.21
301369,联动科技,131.02,9.0,17197.0,215597469.98,3.14
300179,四方达,33.31,9.0,299518.0,963571973.58,8.01
301217,铜冠铜箔,93.91,8.99,284320.0,2554995212.68,3.43
601138,工业富联,65.31,8.98,1816304.0,11531551260.0,0.92
002080,中材科技,48.35,8.97,438427.0,2032914012.92,2.61
300806,斯迪克,45.63,8.95,230964.0,1008120093.04,5.06
600183,生益科技,122.22,8.9,604728.0,7029958578.0,2.51
301165,锐捷网络,117.09,8.83,269124.0,3131557646.0,2.42
002484,江海股份,64.54,8.82,396590.0,2463705307.03,4.83
688333,铂力特,95.19,8.8,86542.0,792974879.0,3.15
688231,隆达股份,28.63,8.78,36190.0,100302660.0,1.13
688699,明微电子,55.3,8.77,45895.0,245557640.0,4.17
301611,珂玛科技,93.05,8.77,101056.0,907694597.1,6.89
603995,甬金股份,22.22,8.76,53652.0,114403194.0,1.48
688318,财富趋势,83.0,8.74,91706.0,739790682.0,2.56
688635,长进光子,258.75,8.72,20456.0,483726404.0,11.52
300835,龙磁科技,139.22,8.71,34690.0,465051879.4,4.15
688403,汇成股份,21.74,8.7,463473.0,975122727.0,4.67
301373,凌玮科技,85.0,8.7,35363.0,286732885.36,8.67
002636,金安国纪,55.51,8.69,393675.0,2080116424.35,5.44
688090,瑞松科技,58.02,8.67,75301.0,419013738.0,4.74
688359,三孚新科,92.91,8.67,40047.0,357679306.0,4.02
688662,富信科技,76.05,8.66,98299.0,702684337.0,8.57
301071,力量钻石,56.5,8.65,108084.0,589175658.98,5.78
