date,open,high,low,close,volume
2025-04-30,4.02,4.02,3.98,3.99,461933.0
2025-05-06,3.99,4.02,3.98,4.01,528308.0
2025-05-07,4.02,4.04,4.0,4.01,508576.0
2025-05-08,4.01,4.02,3.99,4.01,400369.0
2025-05-09,4.01,4.09,4.0,4.08,1094740.0
2025-05-12,4.08,4.1,4.04,4.05,597674.0
2025-05-13,4.07,4.08,4.04,4.07,492517.0
2025-05-14,4.07,4.08,4.04,4.07,410620.0
2025-05-15,4.06,4.09,4.05,4.05,462486.0
2025-05-16,4.05,4.07,4.02,4.03,379406.0
2025-05-19,4.03,4.05,4.03,4.04,287798.0
2025-05-20,4.05,4.07,4.04,4.06,427809.0
2025-05-21,4.06,4.1,4.06,4.08,693832.0
2025-05-22,4.08,4.09,4.04,4.06,432890.0
2025-05-23,4.05,4.07,4.02,4.03,523256.0
2025-05-26,4.04,4.07,4.02,4.06,386860.0
2025-05-27,4.06,4.08,4.04,4.05,299486.0
2025-05-28,4.05,4.06,4.03,4.04,304570.0
2025-05-29,4.04,4.06,4.04,4.04,349159.0
2025-05-30,4.05,4.06,4.03,4.04,443066.0
2025-06-03,4.04,4.07,4.01,4.06,700993.0
2025-06-04,4.05,4.19,4.04,4.16,1590665.0
2025-06-05,4.17,4.21,4.13,4.16,702188.0
2025-06-06,4.17,4.17,4.12,4.13,426743.0
2025-06-09,4.13,4.19,4.13,4.19,492195.0
2025-06-10,4.19,4.23,4.17,4.23,717732.0
2025-06-11,4.22,4.23,4.19,4.19,397150.0
2025-06-12,4.19,4.23,4.17,4.21,473663.0
2025-06-13,4.21,4.25,4.21,4.22,607830.0
2025-06-16,4.22,4.23,4.17,4.19,409544.0
2025-06-17,4.19,4.22,4.15,4.22,434895.0
2025-06-18,4.22,4.24,4.19,4.19,352737.0
2025-06-19,4.19,4.2,4.13,4.15,467343.0
2025-06-20,4.15,4.18,4.13,4.13,353170.0
2025-06-23,4.13,4.14,4.09,4.1,432971.0
2025-06-24,4.11,4.13,4.1,4.11,308415.0
2025-06-25,4.12,4.16,4.11,4.15,369010.0
2025-06-26,4.15,4.18,4.14,4.15,440909.0
2025-06-27,4.15,4.16,4.08,4.09,841266.0
2025-06-30,4.1,4.12,4.1,4.11,373753.0
2025-07-01,4.1,4.18,4.1,4.16,651369.0
2025-07-02,4.17,4.2,4.15,4.17,399873.0
2025-07-03,4.17,4.18,4.13,4.16,342220.0
2025-07-04,4.16,4.2,4.15,4.18,482855.0
2025-07-07,4.19,4.28,4.18,4.27,1002524.0
2025-07-08,4.28,4.29,4.22,4.25,707424.0
2025-07-09,4.26,4.29,4.24,4.26,502746.0
2025-07-10,4.27,4.34,4.26,4.27,774160.0
2025-07-11,4.28,4.33,4.27,4.29,671618.0
2025-07-14,4.29,4.35,4.28,4.31,657012.0
2025-07-15,4.32,4.32,4.25,4.27,588962.0
2025-07-16,4.27,4.29,4.25,4.28,419688.0
2025-07-17,4.29,4.32,4.28,4.29,527383.0
2025-07-18,4.3,4.31,4.28,4.3,481740.0
