date,open,high,low,close,volume
2025-04-30,4.57,4.75,4.51,4.61,702182.0
2025-05-06,4.63,4.75,4.57,4.75,640866.0
2025-05-07,4.79,4.83,4.61,4.68,659660.0
2025-05-08,4.65,4.74,4.63,4.7,491552.0
2025-05-09,4.68,4.68,4.55,4.57,408651.0
2025-05-12,4.6,4.64,4.57,4.63,310091.0
2025-05-13,4.66,4.73,4.58,4.59,349465.0
2025-05-14,4.59,4.64,4.53,4.63,350446.0
2025-05-15,4.64,4.66,4.5,4.52,262560.0
2025-05-16,4.49,4.64,4.49,4.58,343203.0
2025-05-19,4.58,4.71,4.51,4.66,428696.0
2025-05-20,4.66,4.77,4.63,4.75,580514.0
2025-05-21,4.81,4.82,4.68,4.69,416372.0
2025-05-22,4.66,4.74,4.56,4.72,536947.0
2025-05-23,4.67,4.69,4.51,4.51,455265.0
2025-05-26,4.49,4.68,4.48,4.67,504809.0
2025-05-27,4.66,4.72,4.59,4.69,377625.0
2025-05-28,4.69,4.87,4.57,4.84,649601.0
2025-05-29,4.77,4.85,4.71,4.83,658010.0
2025-05-30,5.0,5.3,4.8,4.81,1358132.0
2025-06-03,4.76,5.18,4.69,5.07,1253730.0
2025-06-04,5.02,5.42,4.97,5.19,1216416.0
2025-06-05,5.12,5.38,5.11,5.19,1154467.0
2025-06-06,5.13,5.19,4.99,5.01,864321.0
2025-06-09,4.89,4.97,4.83,4.95,741929.0
2025-06-10,4.99,5.05,4.85,5.05,946547.0
2025-06-11,5.1,5.19,5.01,5.14,916553.0
2025-06-12,5.07,5.18,5.04,5.1,736804.0
2025-06-13,5.04,5.09,4.83,4.84,709607.0
2025-06-16,4.82,5.05,4.8,5.0,616101.0
2025-06-17,5.01,5.07,4.88,4.96,567780.0
2025-06-18,4.9,4.95,4.82,4.87,388788.0
2025-06-19,4.86,4.94,4.8,4.81,451826.0
2025-06-20,4.81,4.84,4.62,4.63,401038.0
2025-06-23,4.6,4.74,4.57,4.73,286542.0
2025-06-24,4.76,4.94,4.76,4.88,445318.0
2025-06-25,4.92,4.93,4.81,4.9,387059.0
2025-06-26,4.89,5.08,4.83,4.96,763962.0
2025-06-27,4.9,5.05,4.86,4.98,607164.0
2025-06-30,4.94,5.1,4.94,5.06,600130.0
2025-07-01,5.06,5.11,4.94,5.02,500747.0
2025-07-02,4.99,5.07,4.96,5.01,441202.0
2025-07-03,4.97,5.05,4.96,4.99,293745.0
2025-07-04,4.98,5.02,4.9,4.94,406304.0
2025-07-07,4.93,5.01,4.9,4.95,293315.0
2025-07-08,4.95,5.05,4.93,5.02,466871.0
2025-07-09,5.02,5.16,5.01,5.09,671152.0
2025-07-10,5.08,5.33,5.07,5.16,990884.0
2025-07-11,5.13,5.19,5.06,5.19,679642.0
2025-07-14,5.18,5.33,5.12,5.26,819606.0
2025-07-15,5.24,5.3,5.08,5.2,796382.0
2025-07-16,5.16,5.31,5.13,5.17,692513.0
2025-07-17,5.17,5.22,5.12,5.16,507986.0
2025-07-18,5.17,5.19,5.07,5.09,478505.0
2025-07-21,5.1,5.14,5.07,5.13,384260.0
2025-07-22,5.1,5.16,5.06,5.13,442746.0
2025-07-23,5.13,5.18,5.0,5.01,517317.0
2025-07-24,5.03,5.12,5.0,5.12,421470.0
2025-07-25,5.13,5.2,5.11,5.14,424764.0
2025-07-28,5.15,5.19,5.08,5.17,422879.0
2025-07-29,5.16,5.18,5.01,5.13,491805.0
2025-07-30,5.1,5.33,5.07,5.18,918373.0
2025-07-31,5.21,5.24,5.11,5.15,608312.0
2025-08-01,5.13,5.19,5.06,5.19,606816.0
2025-08-04,5.14,5.17,5.07,5.16,447741.0
2025-08-05,5.16,5.25,5.15,5.25,620158.0
2025-08-06,5.25,5.45,5.24,5.3,706992.0
2025-08-07,5.29,5.33,5.23,5.25,428616.0
2025-08-08,5.25,5.25,5.11,5.18,483007.0
2025-08-11,5.16,5.23,5.14,5.2,403093.0
2025-08-12,5.18,5.2,5.11,5.14,371527.0
2025-08-13,5.14,5.19,5.12,5.14,398537.0
2025-08-14,5.14,5.19,5.02,5.09,505296.0
2025-08-15,5.07,5.12,5.06,5.09,364771.0
2025-08-18,5.13,5.33,5.11,5.28,896750.0
2025-08-19,5.26,5.39,5.22,5.36,681561.0
2025-08-20,5.34,5.38,5.24,5.35,428522.0
2025-08-21,5.34,5.45,5.32,5.37,683170.0
2025-08-22,5.38,5.44,5.34,5.43,645196.0
2025-08-25,5.45,5.48,5.33,5.41,622331.0
2025-08-26,5.37,5.57,5.35,5.52,741262.0
2025-08-27,5.54,5.55,5.25,5.26,726113.0
2025-08-28,5.28,5.36,5.03,5.24,715258.0
2025-08-29,5.23,5.28,5.12,5.13,437821.0
2025-09-01,5.14,5.24,5.12,5.19,437624.0
2025-09-02,5.19,5.19,4.93,4.96,636498.0
2025-09-03,4.97,5.04,4.82,4.85,452192.0
2025-09-04,4.84,4.91,4.72,4.79,448467.0
2025-09-05,4.83,4.92,4.74,4.92,411875.0
2025-09-08,4.92,4.97,4.88,4.96,368496.0
2025-09-09,4.94,4.98,4.83,4.87,365450.0
2025-09-10,4.86,5.06,4.84,5.02,616405.0
2025-09-11,4.98,5.04,4.86,5.03,511697.0
2025-09-12,5.02,5.08,4.96,4.97,348926.0
2025-09-15,4.95,5.07,4.91,5.03,513134.0
2025-09-16,5.01,5.22,4.99,5.22,766988.0
2025-09-17,5.25,5.28,5.13,5.16,652613.0
2025-09-18,5.14,5.18,4.92,4.96,614040.0
2025-09-19,4.97,5.02,4.87,4.91,377267.0
2025-09-22,4.9,4.91,4.79,4.84,294222.0
2025-09-23,4.81,4.83,4.57,4.7,490842.0
2025-09-24,4.66,4.78,4.63,4.78,348710.0
2025-09-25,4.77,4.94,4.76,4.83,434123.0
2025-09-26,4.81,4.82,4.71,4.73,311089.0
2025-09-29,4.74,4.75,4.64,4.74,251452.0
2025-09-30,4.74,4.79,4.71,4.73,251988.0
2025-10-09,4.73,4.77,4.64,4.69,308146.0
2025-10-10,4.67,4.71,4.64,4.65,253450.0
2025-10-13,4.52,4.58,4.35,4.57,306133.0
2025-10-14,4.59,4.63,4.47,4.49,256036.0
2025-10-15,4.51,4.57,4.47,4.57,197570.0
2025-10-16,4.56,4.57,4.48,4.49,166701.0
2025-10-17,4.48,4.51,4.38,4.39,203011.0
