date,open,high,low,close,volume,amount
2024-12-11,1428.44,1442.35,1420.07,1424.36,2967112.0,4569662604.0
2024-12-12,1421.04,1452.55,1418.23,1452.37,4193652.0,6510547810.0
2024-12-13,1437.72,1442.34,1408.85,1408.96,4951197.0,7580908315.0
2024-12-16,1410.81,1418.23,1401.27,1416.56,3253710.0,4945298799.0
2024-12-17,1415.44,1455.34,1410.82,1445.13,5417163.0,8398945449.0
2024-12-18,1445.11,1462.76,1435.02,1457.66,4116226.0,6440801971.0
2024-12-19,1451.76,1454.34,1438.02,1438.65,2480932.0,3862602665.0
2024-12-20,1442.42,1452.47,1431.95,1433.82,2815774.0,4307425535.0
2024-12-23,1434.76,1448.89,1429.11,1438.01,2160269.0,3300971424.0
2024-12-24,1436.64,1454.54,1433.43,1449.66,2210492.0,3394160299.0
2024-12-25,1449.65,1449.65,1437.68,1441.35,1712339.0,2621061878.0
2024-12-26,1445.12,1449.63,1434.76,1439.27,1828651.0,2798840003.0
2024-12-27,1440.32,1447.01,1431.46,1440.38,2075932.0,3170191445.0
2024-12-30,1445.09,1454.51,1436.64,1436.64,2512982.0,3849542646.0
2024-12-31,1437.02,1455.49,1433.83,1435.7,3935445.0,6033540366.0
2025-01-02,1435.7,1436.16,1394.25,1401.79,5002870.0,7490883773.0
2025-01-03,1407.91,1408.37,1382.01,1389.54,3262836.0,4836610288.0
2025-01-06,1368.82,1377.92,1349.79,1356.57,4425512.0,6392479712.0
2025-01-07,1360.96,1367.77,1355.63,1356.76,2422118.0,3494634227.0
2025-01-08,1356.57,1367.7,1344.0,1358.92,3525821.0,5071821246.0
2025-01-09,1365.04,1379.73,1349.96,1360.34,2970565.0,4295852736.0
2025-01-10,1363.26,1367.83,1352.8,1352.8,2187195.0,3154677598.0
2025-01-13,1342.44,1360.75,1339.62,1360.32,2108251.0,3030806870.0
2025-01-14,1361.23,1393.01,1358.45,1387.19,3095657.0,4535651504.0
2025-01-15,1382.01,1389.16,1375.42,1386.03,1839934.0,2701518712.0
2025-01-16,1388.6,1396.76,1358.45,1362.58,2634213.0,3840411437.0
2025-01-17,1362.59,1376.35,1362.58,1370.46,1830894.0,2663227309.0
2025-01-20,1376.35,1403.47,1375.41,1389.35,3140975.0,4647626351.0
2025-01-21,1395.19,1396.14,1380.12,1383.09,1685604.0,2481821229.0
2025-01-22,1378.49,1382.9,1354.69,1357.51,2829384.0,4088101682.0
2025-01-23,1365.96,1382.95,1354.69,1359.4,2712504.0,3932700850.0
2025-01-24,1358.45,1363.91,1347.44,1352.8,3136034.0,4515322685.0
2025-01-27,1353.74,1360.31,1344.34,1351.85,2935646.0,4213534543.0
2025-02-05,1356.57,1359.4,1320.97,1322.47,4075652.0,5753730034.0
2025-02-06,1318.9,1339.6,1318.9,1330.98,2735582.0,3859568163.0
2025-02-07,1331.77,1359.09,1322.1,1352.8,3724207.0,5310850624.0
2025-02-10,1354.69,1356.57,1344.41,1348.57,2083979.0,2988101756.0
2025-02-11,1351.81,1352.76,1333.87,1335.84,2357283.0,3348668867.0
2025-02-12,1335.84,1361.28,1334.79,1359.4,2547579.0,3644170477.0
2025-02-13,1359.41,1389.78,1351.4,1380.18,4338536.0,6335985851.0
2025-02-14,1380.18,1391.43,1373.73,1389.54,2709992.0,3978694098.0
2025-02-17,1395.19,1408.36,1382.1,1386.36,3247059.0,4804663813.0
2025-02-18,1384.83,1406.49,1377.37,1389.54,2779992.0,4113845397.0
2025-02-19,1389.59,1407.86,1380.03,1404.61,3239331.0,4803378441.0
2025-02-20,1397.08,1405.53,1388.02,1388.6,2374973.0,3513552984.0
2025-02-21,1394.25,1410.01,1387.67,1401.99,3641783.0,5418169587.0
2025-02-24,1401.79,1412.64,1388.6,1393.38,3474373.0,5157907322.0
2025-02-25,1384.84,1388.02,1367.87,1369.76,2838743.0,4142814459.0
2025-02-26,1371.12,1380.08,1361.28,1375.42,2636609.0,3835949041.0
2025-02-27,1375.43,1403.58,1369.76,1399.49,4976217.0,7368002361.0
2025-02-28,1399.43,1439.83,1396.14,1413.84,5612895.0,8475738166.0
2025-03-03,1415.54,1432.87,1395.66,1400.87,3159566.0,4736679903.0
2025-03-04,1398.96,1399.9,1380.32,1384.93,2521121.0,3710675863.0
2025-03-05,1386.72,1388.6,1375.5,1381.41,2460522.0,3606932152.0
2025-03-06,1388.6,1422.7,1386.79,1418.73,4216764.0,6297117400.0
2025-03-07,1415.92,1439.81,1415.92,1432.88,3799135.0,5760608729.0
2025-03-10,1431.76,1438.42,1418.88,1434.67,3136907.0,4758789260.0
2025-03-11,1429.11,1458.95,1424.4,1458.95,3977560.0,6094007854.0
2025-03-12,1457.33,1459.89,1437.92,1453.21,2960396.0,4552923644.0
2025-03-13,1454.54,1465.38,1442.18,1448.67,2572439.0,3966369271.0
2025-03-14,1457.99,1533.69,1451.72,1533.69,9291315.0,14882842708.0
2025-03-17,1561.0,1561.93,1532.62,1542.97,5468913.0,8985138902.0
2025-03-18,1549.73,1556.29,1527.74,1529.91,3161345.0,5153210436.0
2025-03-19,1530.18,1552.52,1528.97,1540.94,2738955.0,4477128770.0
2025-03-20,1540.94,1542.72,1502.65,1511.07,3673677.0,5903879207.0
2025-03-21,1506.36,1518.79,1477.94,1482.57,3361430.0,5324973190.0
2025-03-24,1479.04,1497.56,1471.86,1491.28,2556585.0,4032223482.0
2025-03-25,1495.99,1500.52,1475.89,1484.22,1767438.0,2783286813.0
2025-03-26,1481.65,1490.89,1479.98,1484.69,1432356.0,2257639750.0
2025-03-27,1484.69,1505.65,1482.22,1496.94,1795563.0,2848889210.0
2025-03-28,1498.75,1500.7,1484.69,1493.37,1622789.0,2569470015.0
