date,open,high,low,close,volume
2025-05-07,25.87,25.97,25.13,25.41,94334.0
2025-05-08,25.36,25.68,25.07,25.35,50875.0
2025-05-09,25.45,25.6,24.8,25.06,37725.0
2025-05-12,25.28,26.24,25.0,26.22,84393.0
2025-05-13,26.23,26.64,25.7,25.74,65691.0
2025-05-14,25.58,26.54,25.32,26.08,66115.0
2025-05-15,25.7,25.75,25.08,25.34,42702.0
2025-05-16,25.03,25.68,25.01,25.18,28465.0
2025-05-19,24.97,25.33,24.7,25.32,26101.0
2025-05-20,25.35,25.35,25.03,25.25,23823.0
2025-05-21,25.12,25.23,24.84,25.01,20596.0
2025-05-22,24.91,25.66,24.66,24.66,32931.0
2025-05-23,24.65,25.09,24.31,24.39,28101.0
2025-05-26,24.56,25.43,24.25,25.03,29457.0
2025-05-27,24.99,25.92,24.99,25.44,42099.0
2025-05-28,25.33,25.82,25.19,25.55,44633.0
2025-05-29,25.57,25.79,25.18,25.37,39707.0
2025-05-30,25.22,25.39,24.53,24.77,29656.0
2025-06-03,24.78,25.05,24.56,24.77,19416.0
2025-06-04,24.77,25.04,24.63,24.75,19656.0
2025-06-05,24.79,25.4,24.55,25.2,32485.0
2025-06-06,25.05,25.99,24.7,25.75,59872.0
2025-06-09,25.7,25.94,25.54,25.67,37687.0
2025-06-10,25.65,25.76,24.82,25.54,40485.0
2025-06-11,25.48,25.59,25.26,25.34,24213.0
2025-06-12,25.33,25.7,25.1,25.43,26574.0
2025-06-13,25.36,25.4,24.49,24.65,26320.0
2025-06-16,24.59,25.11,24.41,24.9,16681.0
2025-06-17,24.81,24.84,24.27,24.44,14522.0
2025-06-18,24.44,25.15,24.11,25.13,31872.0
2025-06-19,24.91,25.13,23.94,23.99,25405.0
2025-06-20,23.99,24.2,23.42,23.55,16745.0
2025-06-23,23.25,23.93,23.18,23.89,11874.0
2025-06-24,23.89,24.89,23.89,24.79,27364.0
2025-06-25,24.81,24.93,24.55,24.69,17936.0
2025-06-26,24.7,24.73,24.45,24.61,16833.0
2025-06-27,24.62,25.3,24.5,25.21,34076.0
2025-06-30,25.19,25.32,25.02,25.19,20998.0
2025-07-01,25.25,25.32,25.03,25.24,20265.0
2025-07-02,25.66,27.76,25.19,27.76,152765.0
2025-07-03,27.5,27.98,26.18,26.9,142936.0
2025-07-04,26.5,26.58,25.72,25.81,74698.0
2025-07-07,25.81,26.38,25.58,26.11,57313.0
2025-07-08,26.12,26.34,25.68,26.29,52736.0
2025-07-09,26.05,26.46,25.82,25.92,44642.0
2025-07-10,25.87,26.04,25.38,25.78,40226.0
2025-07-11,25.78,26.02,25.54,25.99,33443.0
2025-07-14,26.16,26.36,25.8,26.31,34467.0
2025-07-15,26.31,26.34,25.5,25.71,31888.0
2025-07-16,25.85,25.92,25.54,25.82,21814.0
2025-07-17,25.65,25.85,25.62,25.76,19687.0
2025-07-18,25.8,26.17,25.65,26.11,35825.0
2025-07-21,26.99,28.72,26.7,28.72,133423.0
2025-07-22,30.08,31.59,29.53,31.59,91653.0
2025-07-23,34.34,34.75,33.33,34.75,180952.0
2025-07-24,34.75,38.23,34.75,38.23,83394.0
2025-07-25,40.0,42.05,36.48,37.47,150557.0
2025-07-28,40.0,41.22,39.03,41.22,128702.0
2025-07-29,42.45,45.34,40.57,45.34,133481.0
2025-07-30,46.0,49.87,46.0,49.87,132980.0
2025-07-31,52.0,54.86,52.0,54.86,82385.0
2025-08-01,52.2,59.96,52.12,57.47,125421.0
2025-08-04,59.0,61.4,56.0,60.1,92238.0
2025-08-05,61.2,61.8,54.22,57.2,89663.0
2025-08-06,56.0,57.0,51.48,51.5,97406.0
2025-08-07,53.21,54.49,49.55,52.58,90959.0
2025-08-08,51.88,57.75,50.35,56.56,104785.0
2025-08-11,55.68,56.5,53.74,54.1,77009.0
2025-08-12,53.52,54.09,50.7,50.95,66028.0
2025-08-13,51.69,54.67,51.1,54.0,78253.0
2025-08-14,52.6,59.4,51.01,59.4,106993.0
2025-08-15,55.53,58.2,55.0,56.37,97984.0
2025-08-18,56.0,57.8,53.95,55.84,79954.0
2025-08-19,55.84,56.9,52.36,52.5,76794.0
2025-08-20,51.05,51.07,47.25,47.25,81075.0
2025-08-21,46.5,47.38,45.28,46.71,68773.0
2025-08-22,46.0,46.7,45.51,45.52,49287.0
2025-08-25,45.88,45.99,44.7,45.0,54104.0
2025-08-26,44.9,44.9,43.52,44.81,56890.0
2025-08-27,44.44,45.59,44.23,45.34,70315.0
2025-08-28,44.65,45.23,43.62,45.22,50467.0
2025-08-29,45.52,46.07,43.8,43.8,47149.0
2025-09-01,42.88,43.47,41.9,42.92,43944.0
2025-09-02,43.18,43.46,41.92,42.92,49781.0
2025-09-03,42.98,43.68,42.03,42.11,37694.0
2025-09-04,41.9,42.5,41.06,41.7,37125.0
2025-09-05,41.61,43.17,41.47,43.07,42961.0
2025-09-08,42.5,43.05,42.07,42.4,33162.0
2025-09-09,42.07,42.96,41.92,42.05,30781.0
2025-09-10,42.19,44.1,42.03,44.0,60676.0
2025-09-11,44.0,44.4,43.03,43.91,54884.0
2025-09-12,43.88,44.21,43.26,43.91,41000.0
2025-09-15,43.98,44.3,43.3,43.31,27746.0
2025-09-16,43.12,43.18,42.5,42.91,30758.0
2025-09-17,42.7,43.23,42.5,42.5,28549.0
2025-09-18,42.5,45.84,42.41,43.39,82775.0
2025-09-19,43.15,47.5,42.56,45.3,131286.0
2025-09-22,44.85,44.96,40.77,40.77,97304.0
2025-09-23,38.0,38.73,36.69,36.69,57521.0
2025-09-24,35.77,36.72,35.53,35.92,59172.0
2025-09-25,36.0,36.49,35.5,35.65,42029.0
2025-09-26,35.3,35.89,34.94,35.4,33248.0
2025-09-29,35.5,35.78,34.55,35.45,31906.0
2025-09-30,35.6,35.95,35.21,35.22,21821.0
2025-10-09,35.22,35.45,34.88,35.27,18216.0
2025-10-10,35.39,36.5,35.01,35.9,39052.0
2025-10-13,35.0,37.11,34.0,36.99,50797.0
2025-10-14,37.0,39.02,36.77,37.5,66384.0
2025-10-15,37.49,37.63,36.1,37.25,40388.0
2025-10-16,37.27,37.84,36.2,36.21,25968.0
2025-10-17,37.0,37.08,35.92,35.95,24294.0
2025-10-20,36.08,36.66,36.03,36.47,19865.0
2025-10-21,36.31,37.98,36.31,37.7,50797.0
2025-10-22,38.63,41.47,38.5,41.47,84723.0
2025-10-23,41.62,45.16,41.5,42.25,149876.0
2025-10-24,41.82,41.82,39.02,39.08,97903.0
2025-10-27,39.3,39.9,38.45,38.77,68875.0
2025-10-28,39.0,42.65,38.38,42.65,93877.0
2025-10-29,42.65,43.22,40.93,41.98,107506.0
2025-10-30,41.77,41.97,40.15,40.21,61041.0
2025-10-31,41.09,42.74,39.8,42.42,93581.0
2025-11-03,42.43,43.57,41.3,43.57,97052.0
2025-11-04,42.8,45.1,42.01,44.45,93907.0
2025-11-05,43.05,44.4,42.73,43.11,55853.0
2025-11-06,42.7,43.1,40.45,40.58,57353.0
2025-11-07,40.16,41.45,40.01,40.75,30847.0
2025-11-10,40.51,40.73,38.67,39.37,46720.0
2025-11-11,39.38,39.4,38.55,38.97,24477.0
2025-11-12,38.97,38.97,37.57,37.7,30185.0
2025-11-13,37.7,38.2,37.21,37.93,20349.0
2025-11-14,37.51,39.72,37.43,38.9,34405.0
2025-11-17,38.88,39.5,38.2,39.21,27349.0
2025-11-18,39.25,39.25,37.4,37.67,27458.0
2025-11-19,37.67,37.79,36.31,36.7,26531.0
2025-11-20,36.75,37.1,36.26,36.5,16404.0
2025-11-21,37.1,40.15,36.72,40.15,38487.0
2025-11-24,42.16,44.17,41.49,44.17,162439.0
2025-11-25,42.95,45.88,41.01,43.54,159223.0
2025-11-26,45.5,47.17,42.99,43.27,140404.0
2025-11-27,42.06,42.46,40.73,42.0,94583.0
2025-11-28,41.36,42.97,41.11,42.38,77876.0
2025-12-01,42.0,42.24,41.01,41.32,63048.0
2025-12-02,40.73,42.01,39.58,41.12,57703.0
2025-12-03,40.01,41.09,40.01,40.28,39916.0
2025-12-04,40.45,41.29,39.7,39.7,45444.0
2025-12-05,39.5,41.37,39.14,41.19,54848.0
2025-12-08,40.98,42.5,40.66,41.92,65503.0
2025-12-09,41.91,43.6,41.58,42.09,69919.0
2025-12-10,42.1,42.68,41.67,42.21,46787.0
2025-12-11,42.15,42.15,40.77,40.99,41038.0
2025-12-12,40.6,41.24,39.76,39.8,34888.0
2025-12-15,39.8,41.78,39.71,40.58,39823.0
2025-12-16,40.0,40.46,37.77,37.84,42051.0
2025-12-17,37.4,38.5,37.02,38.09,30059.0
2025-12-18,37.58,38.29,37.57,37.9,18179.0
2025-12-19,37.9,38.75,37.87,38.64,23473.0
2025-12-22,38.39,38.92,38.12,38.22,20534.0
2025-12-23,38.13,38.5,37.56,37.72,19208.0
2025-12-24,37.72,38.47,37.43,38.4,20162.0
2025-12-25,38.19,38.9,38.05,38.36,18900.0
2025-12-26,38.3,38.35,37.55,37.97,20938.0
2025-12-29,38.48,38.51,37.52,37.7,20567.0
2025-12-30,37.66,37.97,37.2,37.64,16471.0
2025-12-31,37.81,37.93,37.1,37.4,16335.0
2026-01-05,37.32,37.95,37.04,37.76,19002.0
2026-01-06,37.77,37.95,37.43,37.8,19977.0
2026-01-07,37.78,38.49,37.45,38.14,29207.0
2026-01-08,38.02,39.08,37.86,38.71,32434.0
2026-01-09,38.95,38.95,38.15,38.67,25530.0
2026-01-12,38.67,38.85,38.12,38.85,26627.0
2026-01-13,38.86,39.12,38.01,38.03,25603.0
2026-01-14,38.1,41.83,38.08,41.83,90839.0
2026-01-15,43.32,44.48,40.0,40.55,116310.0
2026-01-16,40.54,43.55,40.54,42.35,100420.0
2026-01-19,42.0,42.0,40.8,41.46,57592.0
2026-01-20,41.05,41.47,40.32,40.61,37740.0
2026-01-21,40.8,42.64,40.46,42.49,66284.0
2026-01-22,42.23,42.95,41.95,42.3,45602.0
2026-01-23,42.06,42.44,41.53,41.66,40121.0
2026-01-26,41.5,41.78,40.52,40.97,29927.0
2026-01-27,40.51,40.98,39.2,40.88,29479.0
2026-01-28,40.45,40.89,39.54,39.59,27387.0
2026-01-29,39.41,39.94,38.7,38.78,23255.0
2026-01-30,38.38,39.35,38.27,39.02,15123.0
2026-02-02,39.11,39.43,38.2,38.2,14253.0
2026-02-03,38.3,39.38,38.3,39.24,16578.0
2026-02-04,39.0,39.46,38.58,39.05,14417.0
2026-02-05,38.98,39.36,38.5,39.05,14410.0
2026-02-06,38.55,41.48,38.52,39.8,35871.0
2026-02-09,39.82,40.45,39.82,40.39,24971.0
2026-02-10,40.39,40.94,40.02,40.2,19064.0
2026-02-11,40.01,40.09,39.3,39.36,21830.0
2026-02-12,39.55,40.1,38.58,39.13,21971.0
2026-02-13,38.9,39.74,38.9,39.09,12442.0
2026-02-24,39.38,39.77,39.17,39.42,11098.0
2026-02-25,39.47,39.7,39.22,39.52,12657.0
2026-02-26,39.7,39.7,39.11,39.36,13078.0
2026-02-27,39.41,39.65,38.94,39.13,14016.0
2026-03-02,38.19,39.0,36.9,36.93,33339.0
2026-03-03,36.96,37.5,35.58,35.87,19769.0
2026-03-04,35.23,36.68,35.22,36.3,16344.0
2026-03-05,36.69,39.93,36.69,37.78,50407.0
2026-03-06,36.75,37.77,36.75,37.0,29776.0
2026-03-09,36.5,36.81,35.95,36.52,18828.0
2026-03-10,36.61,38.06,36.61,37.45,17568.0
2026-03-11,37.35,38.06,37.09,37.65,16791.0
2026-03-12,37.69,37.69,36.8,37.0,12055.0
2026-03-13,37.0,40.7,36.6,40.7,83578.0
2026-03-16,40.15,41.71,38.5,38.7,82851.0
2026-03-17,39.17,39.29,37.54,37.74,46043.0
2026-03-18,37.82,38.03,36.7,37.5,33290.0
2026-03-19,37.13,37.13,35.71,35.95,36121.0
2026-03-20,35.75,36.3,35.51,35.55,20732.0
2026-03-23,34.67,34.67,32.64,32.68,27633.0
2026-03-24,33.26,34.25,32.91,34.22,21866.0
2026-03-25,34.69,35.35,34.31,35.1,19387.0
2026-03-26,35.08,35.37,33.88,34.06,16919.0
2026-03-27,33.61,34.7,33.61,34.44,11580.0
2026-03-30,34.1,35.5,33.88,34.75,14817.0
2026-03-31,34.65,36.09,34.65,34.84,19636.0
2026-04-01,35.54,35.94,34.85,35.24,16679.0
2026-04-02,34.9,35.75,34.85,35.28,16883.0
2026-04-03,34.98,35.28,33.34,33.39,19150.0
2026-04-07,33.34,34.49,33.32,34.25,13535.0
2026-04-08,35.72,36.39,35.7,36.21,28017.0
2026-04-09,35.97,36.38,35.26,35.45,17908.0
2026-04-10,35.58,36.06,35.27,35.55,15636.0
2026-04-13,35.54,35.56,34.73,35.06,12750.0
2026-04-14,35.3,35.37,34.89,35.23,10883.0
2026-04-15,35.23,35.45,34.96,35.24,11830.0
2026-04-16,35.17,35.43,34.81,35.28,11399.0
2026-04-17,35.44,35.44,34.62,34.81,16394.0
2026-04-20,35.18,35.18,34.65,34.97,10881.0
2026-04-21,35.04,35.06,34.53,34.93,9618.0
2026-04-22,34.58,34.9,34.26,34.58,9111.0
2026-04-23,34.31,34.59,33.8,33.97,11189.0
2026-04-24,33.77,34.12,33.33,33.92,13612.0
2026-04-27,34.0,34.61,33.46,34.52,13453.0
2026-04-28,34.3,34.76,33.76,34.01,8924.0
2026-04-29,34.19,34.49,33.81,33.91,11596.0
2026-04-30,33.91,34.46,33.91,34.08,11005.0
2026-05-06,34.05,34.2,33.65,34.08,17948.0
2026-05-07,34.04,34.54,33.97,34.27,13236.0
2026-05-08,34.19,34.6,33.59,34.45,15115.0
2026-05-11,34.44,35.03,34.2,34.46,17760.0
2026-05-12,34.47,34.54,33.36,33.6,22588.0
2026-05-13,33.8,33.8,33.0,33.33,12543.0
2026-05-14,33.62,33.62,32.69,32.75,14072.0
2026-05-15,32.51,33.24,32.39,32.9,13783.0
2026-05-18,33.0,33.0,32.14,32.4,12467.0
2026-05-19,32.48,32.62,31.91,32.32,10297.0
2026-05-20,32.21,32.32,31.4,31.68,11299.0
2026-05-21,31.8,32.12,30.55,30.64,13242.0
2026-05-22,30.8,31.28,30.29,30.95,10987.0
2026-05-25,31.28,31.5,30.03,30.33,10916.0
2026-05-26,30.25,30.31,29.51,29.75,11459.0
2026-05-27,29.75,30.08,29.1,29.38,11079.0
2026-05-28,29.16,29.61,28.48,29.18,12368.0
2026-05-29,29.14,29.65,29.0,29.03,12776.0
2026-06-01,28.5,30.08,28.5,29.77,14259.0
2026-06-02,29.81,29.81,28.54,28.77,11796.0
2026-06-03,28.8,28.93,28.23,28.5,10664.0
2026-06-04,28.34,28.57,28.0,28.3,9219.0
2026-06-05,28.42,29.0,27.94,28.75,10886.0
2026-06-08,28.35,29.09,27.88,28.3,13116.0
2026-06-09,28.58,28.9,28.16,28.43,14016.0
2026-06-10,28.34,28.43,27.46,27.81,10920.0
2026-06-11,27.47,27.8,26.86,27.35,12337.0
2026-06-12,27.86,27.91,27.19,27.82,10176.0
