date,open,high,low,close,volume
2025-05-07,17.7,17.96,17.34,17.57,3884909.0
2025-05-08,17.57,17.92,17.45,17.9,2622982.0
2025-05-09,17.81,17.81,17.28,17.3,3183301.0
2025-05-12,17.45,18.31,17.4,18.23,5650082.0
2025-05-13,18.5,19.43,17.91,19.22,9691379.0
2025-05-14,19.06,19.51,18.81,19.15,7132526.0
2025-05-15,19.28,19.56,19.01,19.23,5706757.0
2025-05-16,19.25,20.5,19.13,20.06,9001336.0
2025-05-19,20.0,21.63,20.0,21.56,11817470.0
2025-05-20,23.0,25.87,22.8,24.9,45431848.0
2025-05-21,24.46,25.65,22.0,22.13,33169140.0
2025-05-22,21.91,22.24,20.45,20.98,24197375.0
2025-05-23,20.78,21.02,20.0,20.0,15206493.0
2025-05-26,20.24,20.7,20.01,20.17,10035764.0
2025-05-27,20.15,20.15,19.49,19.71,11287277.0
2025-05-28,19.65,19.82,19.24,19.3,7999405.0
2025-05-29,19.31,19.73,19.31,19.6,11443659.0
2025-05-30,19.6,19.6,18.81,19.08,8586831.0
2025-06-03,18.9,19.49,18.9,19.14,5376781.0
2025-06-04,19.35,19.56,19.14,19.41,5483184.0
2025-06-05,19.52,19.75,19.15,19.65,6073839.0
2025-06-06,19.76,19.92,19.33,19.66,6735277.0
2025-06-09,19.56,19.77,19.47,19.6,7006027.0
2025-06-10,19.5,19.58,18.84,19.12,6850925.0
2025-06-11,19.2,19.38,19.07,19.11,4034165.0
2025-06-12,19.11,19.3,18.93,19.0,3169117.0
2025-06-13,18.98,19.02,18.18,18.22,6170541.0
2025-06-16,18.23,18.91,18.18,18.67,4819379.0
2025-06-17,18.67,18.98,18.48,18.73,3171475.0
2025-06-18,18.6,18.79,18.42,18.66,3088354.0
2025-06-19,18.55,18.85,18.2,18.24,3752550.0
2025-06-20,18.15,18.59,18.05,18.23,4007778.0
2025-06-23,18.1,18.69,17.99,18.5,3334186.0
2025-06-24,18.6,19.38,18.5,19.21,5959023.0
2025-06-25,19.1,19.73,19.05,19.71,8017606.0
2025-06-26,19.99,20.48,19.75,19.75,10732140.0
2025-06-27,20.02,21.03,19.83,20.54,13051171.0
2025-06-30,20.66,21.2,20.5,20.71,10062868.0
2025-07-01,20.73,20.89,20.35,20.42,6770647.0
2025-07-02,20.42,20.42,19.9,20.06,5601064.0
2025-07-03,20.2,20.56,19.9,20.38,4580394.0
2025-07-04,20.59,20.87,20.06,20.18,5006936.0
2025-07-07,20.0,21.08,19.8,21.0,11112392.0
2025-07-08,20.99,21.19,20.52,21.11,8566994.0
