date,open,high,low,close,volume
2025-05-07,11.931,12.071,11.881,12.011,120809.0
2025-05-08,12.001,12.231,11.931,12.141,207966.0
2025-05-09,12.121,12.281,12.091,12.121,133272.0
2025-05-12,12.121,12.411,12.041,12.221,166167.0
2025-05-13,12.251,12.361,12.121,12.341,151087.0
2025-05-14,12.311,12.371,12.081,12.211,116685.0
2025-05-15,12.181,12.311,12.121,12.191,141103.0
2025-05-16,12.161,12.201,11.951,11.961,118956.0
2025-05-19,11.991,12.191,11.961,12.131,142733.0
2025-05-20,12.101,12.281,12.061,12.071,114858.0
2025-05-21,12.081,12.141,12.011,12.051,120569.0
2025-05-22,12.051,12.061,11.711,11.721,260835.0
2025-05-23,11.741,11.831,11.661,11.671,146431.0
2025-05-26,11.661,11.711,11.561,11.651,161410.0
2025-05-27,11.661,11.711,11.321,11.361,298928.0
2025-05-28,11.351,11.541,11.191,11.501,282801.0
2025-05-29,11.461,11.631,11.451,11.561,168395.0
2025-05-30,11.571,11.991,11.531,11.881,384211.0
2025-06-03,11.891,11.981,11.621,11.921,238015.0
2025-06-04,11.901,11.941,11.761,11.781,139393.0
2025-06-05,11.781,11.931,11.761,11.841,104991.0
2025-06-06,11.861,11.881,11.721,11.771,91454.0
2025-06-09,11.771,11.811,11.531,11.641,160132.0
2025-06-10,11.621,11.751,11.501,11.521,148493.0
2025-06-11,11.561,11.621,11.431,11.491,120089.0
2025-06-12,11.511,11.601,11.381,11.571,229597.0
2025-06-13,11.551,11.591,11.441,11.461,269166.0
2025-06-16,11.451,11.501,11.361,11.371,126182.0
2025-06-17,11.371,11.421,11.341,11.401,86568.0
2025-06-18,11.361,11.411,11.301,11.381,83169.0
2025-06-19,11.391,11.451,11.271,11.291,119485.0
2025-06-20,11.291,11.341,11.211,11.271,113571.0
2025-06-23,11.261,11.361,11.181,11.341,131234.0
2025-06-24,11.351,11.431,11.291,11.391,147631.0
2025-06-25,11.411,11.431,11.321,11.391,130303.0
2025-06-26,11.381,11.421,11.191,11.221,149430.0
2025-06-27,11.231,11.241,11.101,11.191,172527.0
2025-06-30,11.191,11.301,11.171,11.211,117753.0
2025-07-01,11.211,11.221,11.121,11.161,120614.0
2025-07-02,11.171,11.181,10.791,10.951,360314.0
2025-07-03,10.951,11.141,10.901,11.121,279128.0
2025-07-04,11.111,11.311,11.071,11.271,288604.0
2025-07-07,11.251,11.361,11.111,11.301,157081.0
2025-07-08,11.301,11.341,11.201,11.221,188866.0
2025-07-09,11.251,11.391,11.211,11.341,148936.0
2025-07-10,11.341,11.361,11.251,11.261,85287.0
2025-07-11,11.271,11.281,11.101,11.151,248201.0
2025-07-14,11.151,11.241,11.091,11.191,188877.0
