date,open,high,low,close,volume
2025-05-07,6.055,6.085,5.975,5.995,161345.0
2025-05-08,5.995,6.025,5.965,5.995,114695.0
2025-05-09,5.995,5.995,5.935,5.945,102195.0
2025-05-12,5.945,5.975,5.885,5.925,110953.0
2025-05-13,5.945,5.975,5.875,5.885,116244.0
2025-05-14,5.905,5.925,5.825,5.885,112497.0
2025-05-15,5.885,5.925,5.835,5.885,99419.0
2025-05-16,5.905,6.025,5.885,6.015,266463.0
2025-05-19,6.025,6.045,5.885,5.965,183613.0
2025-05-20,5.945,6.125,5.935,6.015,175523.0
2025-05-21,6.015,6.075,6.005,6.025,170090.0
2025-05-22,6.005,6.005,5.885,5.915,129858.0
2025-05-23,5.935,6.175,5.935,5.975,267030.0
2025-05-26,5.945,5.985,5.795,5.835,223360.0
2025-05-27,5.825,6.005,5.795,5.905,168801.0
2025-05-28,5.875,5.885,5.805,5.825,122973.0
2025-05-29,5.815,5.975,5.795,5.965,215056.0
2025-05-30,5.945,6.085,5.935,6.005,216518.0
2025-06-03,5.975,6.115,5.935,6.105,236154.0
2025-06-04,6.115,6.125,6.045,6.105,154706.0
2025-06-05,6.105,6.125,5.975,6.005,161721.0
2025-06-06,6.005,6.075,5.985,6.015,94270.0
2025-06-09,6.005,6.215,5.995,6.175,294783.0
2025-06-10,6.225,6.485,6.105,6.195,377533.0
2025-06-11,6.195,6.255,6.145,6.145,225225.0
2025-06-12,6.135,6.195,6.115,6.185,152685.0
2025-06-13,6.195,6.205,6.025,6.055,189793.0
2025-06-16,6.045,6.065,5.965,6.005,156576.0
2025-06-17,6.045,6.585,6.025,6.285,525727.0
2025-06-18,6.135,6.405,6.035,6.225,490477.0
2025-06-19,6.165,6.255,6.015,6.025,271866.0
2025-06-20,5.985,6.045,5.945,6.015,176931.0
2025-06-23,5.955,6.065,5.905,6.045,147941.0
2025-06-24,6.055,6.125,6.025,6.115,167787.0
2025-06-25,6.115,6.135,6.035,6.125,173685.0
2025-06-26,6.105,6.125,6.045,6.085,122836.0
2025-06-27,6.075,6.125,6.075,6.085,111323.0
2025-06-30,6.095,6.125,6.055,6.115,137302.0
2025-07-01,6.115,6.345,6.085,6.325,372067.0
2025-07-02,6.325,6.445,6.245,6.325,268836.0
2025-07-03,6.345,6.435,6.295,6.405,229608.0
2025-07-04,6.395,6.455,6.355,6.385,183625.0
2025-07-07,6.375,6.455,6.305,6.325,167045.0
2025-07-08,6.335,6.425,6.295,6.345,143179.0
2025-07-09,6.335,6.405,6.285,6.345,144818.0
2025-07-10,6.345,6.425,6.305,6.385,127193.0
2025-07-11,6.435,6.935,6.435,6.805,756500.0
2025-07-14,6.785,7.065,6.715,6.925,573052.0
2025-07-15,6.925,6.945,6.695,6.745,311708.0
2025-07-16,6.775,6.835,6.635,6.825,216152.0
2025-07-17,6.825,6.975,6.775,6.865,240347.0
2025-07-18,6.865,6.865,6.695,6.825,197196.0
2025-07-21,6.805,6.925,6.745,6.825,235429.0
2025-07-22,6.795,6.855,6.755,6.805,205760.0
2025-07-23,6.785,6.885,6.735,6.755,243731.0
2025-07-24,6.745,6.905,6.725,6.795,241485.0
2025-07-25,6.815,6.995,6.765,6.795,236136.0
2025-07-28,6.785,6.955,6.785,6.855,199464.0
2025-07-29,6.865,6.995,6.735,6.965,379695.0
2025-07-30,6.985,7.425,6.935,6.975,735483.0
2025-07-31,6.965,7.035,6.805,6.845,455535.0
2025-08-01,6.795,7.055,6.775,6.895,328357.0
2025-08-04,6.855,6.925,6.625,6.855,307029.0
2025-08-05,6.855,6.935,6.765,6.795,201282.0
